,,Page Name,Page ID,Candidates Mentioned+,# of Candidates Mentioned,Approx. Spend on Mentions^,# of Ads Mentioning,Total Spend++,Total # of Ads,Sponsor Name(s),Candidate Page
253,⊕,Michigan Votes Trump Out,1.03218E+14,Donald Trump (52),1,"$126,255 ",52,"$126,255 ",128,TECH FOR CAMPAIGNS,0
254,⊕,Minnesota Values,1.00633E+14,Donald Trump (8),1,"$28,796 ",8,"$28,796 ",951,NA,0
255,⊕,Minnesota Votes Trump Out,1.12936E+14,Donald Trump (47),1,"$67,568 ",47,"$67,568 ",133,TECH FOR CAMPAIGNS,0
256,⊕,Multi-Millionaire Mike Garcia,1.11456E+14,Donald Trump (18),1,"$46,146 ",18,"$46,146 ",117,DEMOCRATIC CONGRESSIONAL CAMPAIGN CMTE,0
257,⊕,My President,1.01894E+14,Donald Trump (197),1,"$49,933 ",197,"$49,933 ","1,568",NA,0
258,⊕,Mytacticalpromos,2.35263E+15,Donald Trump (1717),1,"$698,520 ","1,717","$1,753,485 ","29,797",NA,0
259,⊕,Next Level Goods,1.08119E+14,Donald Trump (630),1,"$83,001 ",630,"$231,392 ","8,686",NEXT LEVEL GOODS LLC,0
260,⊕,North Carolina Before Party,1.07118E+14,Thom Tillis* (113),1,"$942,221 ",113,"$942,221 ","1,622",PRIORITIES USA; MAJORITY FORWARD,0
261,⊕,Oceana in Florida,1.76099E+14,Donald Trump (25),1,"$82,531 ",25,"$120,696 ",337,OCEANA,0
262,⊕,One For All Committee,1.06439E+14,Joseph Biden (4),1,"$43,761 ",4,"$43,761 ",48,NA,0
263,⊕,Opportunity Wisconsin,1.00146E+14,Donald Trump (73),1,"$322,464 ",73,"$322,464 ",428,NA,0
264,⊕,Organizing Together 2020,1.10383E+14,Donald Trump (579),1,"$121,214 ",579,"$196,229 ","3,353",NA,0
265,⊕,Our Big Sky Country,1.01911E+14,Steve Daines* (47),1,"$193,122 ",47,"$193,122 ",702,MAJORITY FORWARD,0
266,⊕,Patriot Depot,2.93225E+14,Donald Trump (271),1,"$105,528 ",271,"$251,593 ","13,217",NA,0
267,⊕,Patriots Republic,1.06323E+14,Donald Trump (1851),1,"$42,551 ","1,851","$272,687 ","38,035",NA,0
268,⊕,Paycheck to Paycheck,1.04934E+14,Donald Trump (308),1,"$383,453 ",308,"$1,283,000 ","7,497",NA,0
269,⊕,Pennsylvania Votes Trump Out,1.09031E+14,Donald Trump (63),1,"$145,704 ",63,"$145,704 ",222,TECH FOR CAMPAIGNS,0
270,⊕,PhRMA,1.72759E+14,Donald Trump (6),1,"$31,319 ",6,"$2,683,584 ","19,722",PHARMACEUTICAL RESEARCH & MANUFACTURERS OF AMERICA,0
271,⊕,Poor People's Campaign: A National Call for Moral Revival,8.73203E+14,Mitch McConnell* (1),1,"$72,972 ",1,"$72,972 ",89,NA,0
272,⊕,President Donald Trump Fan Club,1.48759E+15,Donald Trump (229),1,"$42,402 ",229,"$194,039 ","4,125","I LOVE MY FREEDOM, MAKING WEB LLC, PRESIDENT DONALD TRUMP FAN CLUB",0
273,⊕,PrintedKicks,7.17115E+14,Donald Trump (140),1,"$58,263 ",140,"$846,347 ","7,185",NA,0
274,⊕,Profiteering Peters,1.10052E+14,Gary Peters* (817),1,"$58,744 ",817,"$58,744 ","5,025",NATIONAL REPUBLICAN SENATORIAL CMTE,0
275,⊕,Proud Patriot Shop,1.04028E+14,Donald Trump (6),1,"$35,784 ",6,"$35,784 ",267,NA,0
276,⊕,Real American Patriot,1.08274E+14,Donald Trump (117),1,"$52,266 ",117,"$52,266 ",575,NA,0
277,⊕,"Red, Wine, & Blue",7.69672E+14,Donald Trump (3),1,"$49,712 ",3,"$49,712 ",206,NA,0
278,⊕,ReOpen America Now,1.01076E+14,Donald Trump (1),1,"$25,655 ",1,"$25,655 ",29,NA,0
279,⊕,Respect The Look,1.3757E+14,Donald Trump (1702),1,"$59,157 ","1,702","$182,754 ","18,112",NA,0
280,⊕,Robert Kiyosaki - The Rich Dad Poor Dad Letter,1.12975E+14,Donald Trump (403),1,"$277,335 ",403,"$315,054 ","1,732",NA,0
281,⊕,Shield Republic,1.88384E+15,Donald Trump (1733),1,"$51,777 ","1,733","$1,450,853 ","99,556",NA,0
282,⊕,Steve Daines Follows The Money,1.09895E+14,Steve Daines* (132),1,"$67,031 ",132,"$67,031 ","1,099",DEMOCRATIC SENATORIAL CAMPAIGN CMTE,0
283,⊕,Stop The Donald,1.63302E+14,Donald Trump (212),1,"$72,224 ",212,"$155,601 ","1,547",NA,0
284,⊕,Team Trump Store,1.03598E+14,Donald Trump (3345),1,"$382,708 ","3,345","$382,708 ","25,561","TRUMP, DONALD J.",1
285,⊕,Texas Oil and Gas Association,7.50054E+14,Steve Bullock* (1),1,"$84,629 ",1,"$84,629 ","1,126",NA,0
286,⊕,The Daily Republican,1.02916E+14,Donald Trump (745),1,"$31,173 ",745,"$31,173 ","6,108",NA,0
287,⊕,The Empowerment Alliance,1.01691E+14,Donald Trump (586),1,"$116,066 ",586,"$290,278 ","18,526",NA,0
288,⊕,The Good Neighbor,1.03037E+14,Donald Trump (66),1,"$31,616 ",66,"$53,185 ",269,NA,0
289,⊕,The GOP Shop,1.07859E+14,Donald Trump (325),1,"$554,145 ",325,"$987,049 ","2,740",THE GOP SHOP,0
290,⊕,The John Lewis Bridge Project,1.07398E+14,Mitch McConnell* (120),1,"$253,221 ",120,"$253,221 ","4,359",NA,0
291,⊕,The Movement for Black Lives,1.43983E+15,Donald Trump (157),1,"$28,642 ",157,"$239,743 ",997,NA,0
292,⊕,The Patriot Club,1.1401E+14,Donald Trump (6),1,"$90,715 ",6,"$90,715 ",129,NA,0
293,⊕,The Way I See It,1.0527E+14,Donald Trump (3),1,"$134,797 ",3,"$134,797 ","1,857",NA,0
294,⊕,Town of Hempstead,7.54765E+14,Jeff Sessions* (3),1,"$30,333 ",3,"$30,333 ",792,NA,0
295,⊕,Trending Politics,1.03377E+14,Donald Trump (189),1,"$25,564 ",189,"$30,722 ","2,655",NA,0
296,⊕,True Patriot Strength,1.03315E+14,Donald Trump (88),1,"$29,312 ",88,"$49,427 ","1,781",NA,0
297,⊕,Trump 2020 Supporters,1.00138E+14,Donald Trump (635),1,"$452,350 ",635,"$668,141 ","12,080",PROUD RIGHT WINGER,0
298,⊕,Trump Coolers,1.02745E+14,Donald Trump (723),1,"$153,623 ",723,"$155,204 ","14,975",", ERIC CLIFFORD JUELS",0
299,⊕,Trump Is The Storm,1.02637E+14,Donald Trump (103),1,"$26,227 ",103,"$26,227 ",637,LEGENDARY TRUMP COINS,0
300,⊕,Trump Rack,5.93289E+14,Donald Trump (358),1,"$65,574 ",358,"$153,916 ","7,690","BOXD MARKETING, TRUMP RACK",0
301,⊕,Trump Talking,1.08486E+15,Donald Trump (1272),1,"$37,607 ","1,272","$41,611 ","12,545","GREEN STRAW, LLC, JAY DAVID KAMHI, ROBERTO NONE LUGO",0
302,⊕,Trumpcare For America,1.12694E+14,Donald Trump (4807),1,"$247,304 ","4,807","$263,161 ","12,082",STUART JOSEPH MILLAR,0
303,⊕,TrumpersUnite,4.81559E+14,Donald Trump (2327),1,"$127,010 ","2,327","$172,644 ","16,942",RESPECT THE LOOK,0
304,⊕,Trumpian Republicans,1.0695E+14,Donald Trump (11),1,"$81,771 ",11,"$81,771 ",507,GREGORY LAWRENCE BURRIGHT,0
305,⊕,TrumpTrendz,1.08153E+14,Donald Trump (1074),1,"$29,147 ","1,074","$29,337 ","12,993",TROY LORENZO DAVIS,0
306,⊕,Unicorn Politics,2.35354E+15,Mitch McConnell* (81),1,"$205,745 ",81,"$608,917 ","21,920",NA,0
307,⊕,Unite for Colorado,1.09098E+14,John Hickenlooper* (189),1,"$134,071 ",189,"$222,738 ","2,117",UNITE FOR COLORADO,0
308,⊕,United for Massachusetts,1.11992E+14,Edward Markey* (25),1,"$128,894 ",25,"$128,894 ",407,UNITED FOR MASSACHUSETTS,0
309,⊕,Uniting Missouri,2.24636E+15,Joseph Biden (3),1,"$214,571 ",3,"$214,571 ",379,NA,0
310,⊕,Van Drew for Congress,1.4373E+14,Donald Trump (471),1,"$31,847 ",471,"$157,444 ","12,259","VAN DREW, JEFF MR",1
311,⊕,VoteSafe,1.07197E+14,Donald Trump (6),1,"$25,462 ",6,"$25,462 ",714,NA,0
312,⊕,We Welcome Refugees,4.16914E+14,Donald Trump (1),1,"$47,204 ",1,"$47,204 ",657,NA,0
313,⊕,We're Saying NO to Martha McSally,1.02226E+14,Martha McSally* (20),1,"$25,303 ",20,"$25,303 ",254,DEMOCRATIC SENATORIAL CAMPAIGN CMTE,0
314,⊕,Wisconsin Votes Trump Out,1.00969E+14,Donald Trump (52),1,"$78,560 ",52,"$78,560 ",148,TECH FOR CAMPAIGNS,0
